Partner Data Point File	- compression			
Start of Test Mon 10 Sep 2018 15:31:06				
Time ( min )	Stress ( psi )	Position ( in )	Load ( lbf )	Zone
0	0		0	0	Speed 1
0.00167	0		0	0	Speed 1
0.00333	-0.008		0	-0.1	Speed 1
0.005	0.0716		0	0.9	Speed 1
0.00667	0.3979		0	5	Speed 1
0.00833	1.0823		0.0003	13.6	Speed 1
0.01	2.1406		0.0005	26.9	Speed 1
0.01167	3.8754		0.001	48.7	Speed 1
0.01333	6.2946		0.0018	79.1	Speed 1
0.015	9.3344		0.0023	117.3	Speed 1
0.01667	12.9074		0.0027	162.2	Speed 1
0.01833	16.9898		0.0035	213.5	Speed 1
0.02	21.3904		0.004	268.8	Speed 1
0.02167	26.0695		0.0048	327.6	Speed 1
0.02333	30.8839		0.0053	388.1	Speed 1
0.025	35.7541		0.0057	449.3	Speed 1
0.02667	40.5605		0.0062	509.7	Speed 1
0.02833	45.2954		0.0068	569.2	Speed 1
0.03	49.879		0.0073	626.8	Speed 1
0.03167	54.3035		0.0078	682.4	Speed 1
0.03333	58.6007		0.008	736.4	Speed 1
0.035	62.7706		0.0085	788.8	Speed 1
0.03667	66.7813		0.009	839.2	Speed 1
0.03833	70.6726		0.0093	888.1	Speed 1
0.04	74.4525		0.0098	935.6	Speed 1
0.04167	78.129		0.0103	981.8	Speed 1
0.04333	81.7497		0.0105	1027.3	Speed 1
0.045	85.3307		0.011	1072.3	Speed 1
0.04667	88.8719		0.0115	1116.8	Speed 1
0.04833	92.3892		0.012	1161	Speed 1
0.05	95.9304		0.0123	1205.5	Speed 1
0.05167	99.4637		0.0128	1249.9	Speed 1
0.05333	102.981		0.0132	1294.1	Speed 1
0.055	106.4824	0.0135	1338.1	Speed 1
0.05667	109.9679	0.014	1381.9	Speed 1
0.05833	113.4772	0.0145	1426	Speed 1
0.06	117.0104	0.0148	1470.4	Speed 1
0.06167	120.5596	0.0153	1515	Speed 1
0.06333	124.0769	0.0158	1559.2	Speed 1
0.065	127.6101	0.016	1603.6	Speed 1
0.06667	131.215		0.0165	1648.9	Speed 1
0.06833	134.8835	0.017	1695	Speed 1
0.07	138.6873	0.0173	1742.8	Speed 1
0.07167	142.6184	0.0175	1792.2	Speed 1
0.07333	146.5575	0.0178	1841.7	Speed 1
0.075	150.417		0.018	1890.2	Speed 1
0.07667	154.1651	0.0182	1937.3	Speed 1
0.07833	157.7779	0.0182	1982.7	Speed 1
0.08	161.2713	0.0185	2026.6	Speed 1
0.08167	164.7011	0.0188	2069.7	Speed 1
0.08333	168.107		0.0188	2112.5	Speed 1
0.085	171.4811	0.019	2154.9	Speed 1
0.08667	174.8233	0.019	2196.9	Speed 1
0.08833	178.1338	0.0193	2238.5	Speed 1
0.09	181.5158	0.0193	2281	Speed 1
0.09167	184.866		0.0195	2323.1	Speed 1
0.09333	188.256		0.0198	2365.7	Speed 1
0.095	191.6619	0.0198	2408.5	Speed 1
0.09667	195.0678	0.02	2451.3	Speed 1
0.09833	198.4419	0.02	2493.7	Speed 1
0.1	201.8478	0.0203	2536.5	Speed 1
0.10167	205.2696	0.0203	2579.5	Speed 1
0.10333	208.6835	0.0205	2622.4	Speed 1
0.105	212.1133	0.0205	2665.5	Speed 1
0.10667	215.543		0.0208	2708.6	Speed 1
0.10833	218.9887	0.0208	2751.9	Speed 1
0.11	222.4344	0.021	2795.2	Speed 1
0.11167	225.8563	0.021	2838.2	Speed 1
0.11333	229.3099	0.0213	2881.6	Speed 1
0.115	232.7715	0.0213	2925.1	Speed 1
0.11667	236.2252	0.0213	2968.5	Speed 1
0.11833	239.7027	0.0215	3012.2	Speed 1
0.12	243.1564	0.0215	3055.6	Speed 1
0.12167	246.6339	0.0217	3099.3	Speed 1
0.12333	250.0955	0.0217	3142.8	Speed 1
0.125	253.573		0.022	3186.5	Speed 1
0.12667	257.0506	0.022	3230.2	Speed 1
0.12833	260.536		0.022	3274	Speed 1
0.13	264.0215	0.0223	3317.8	Speed 1
0.13167	267.4991	0.0223	3361.5	Speed 1
0.13333	270.9845	0.0225	3405.3	Speed 1
0.135	274.4621	0.0225	3449	Speed 1
0.13667	277.9714	0.0228	3493.1	Speed 1
0.13833	281.433		0.0228	3536.6	Speed 1
0.14	284.9185	0.0228	3580.4	Speed 1
0.14167	288.4358	0.023	3624.6	Speed 1
0.14333	291.9134	0.023	3668.3	Speed 1
0.145	295.4068	0.0233	3712.2	Speed 1
0.14667	298.8843	0.0233	3755.9	Speed 1
0.14833	302.3778	0.0233	3799.8	Speed 1
0.15	305.8394	0.0235	3843.3	Speed 1
0.15167	309.301		0.0235	3886.8	Speed 1
